,co,nh3,no,no2,o3,pm10,pm2_5,so2,latitude,longitude,Count,AQI,Air_Pollution_Level
4661,345.678,0.23807769,0.9087103,124.270645,235.32607,28.358095,39.920605,2.0737817,40.1911,105.0282,5.0,2233.0,Hazardous
4662,345.21503,0.23866677,0.79488057,123.962074,240.40877,28.494205,40.204845,2.1109028,40.1911,105.0282,5.0,2233.0,Hazardous
4663,340.37173,0.2491127,0.7247045,125.96799,240.69357,28.490889,37.565594,2.2083669,40.1911,105.0282,5.0,2233.0,Hazardous
4664,336.73138,0.25159696,0.6619558,135.2176,245.7403,27.389446,30.278355,2.1900725,40.1911,105.0282,5.0,2233.0,Hazardous
4665,332.6523,0.2534218,0.5172391,139.26573,238.02266,29.195942,34.46368,2.3442824,40.1911,105.0282,5.0,2233.0,Hazardous
4666,331.0704,0.2521351,0.43632263,144.8816,228.73364,30.965578,41.133083,2.3935528,40.1911,105.0282,5.0,2233.0,Hazardous
4667,326.73135,0.17059682,0.35443622,163.59694,209.98563,26.763536,46.072956,1.4938673,40.1911,105.0282,5.0,2233.0,Hazardous
4668,323.11273,0.16904198,0.48408797,167.58272,212.7529,29.606787,62.545677,1.2508657,40.1911,105.0282,5.0,2233.0,Hazardous
4669,324.31552,0.16281468,0.5658835,181.70676,231.83527,33.09353,70.490845,0.9946385,40.1911,105.0282,5.0,2231.0,Hazardous
4670,321.57996,0.13800043,0.757799,194.22662,240.73601,35.627995,80.383484,0.65229285,40.1911,105.0282,5.0,2202.0,Hazardous
4671,314.7725,0.13328521,0.99995595,193.69148,229.994,35.588177,76.16973,0.55546755,40.1911,105.0282,5.0,2181.0,Hazardous
4672,305.68863,0.13301939,1.0700343,182.60732,203.58115,32.72257,65.56035,0.65485996,40.1911,105.0282,5.0,2157.0,Hazardous
4673,302.4239,0.1335435,1.0672382,167.85616,181.49844,30.367228,60.72531,0.83655536,40.1911,105.0282,5.0,2147.0,Hazardous
4674,308.3721,0.14501038,1.0669968,161.38046,179.96666,30.289766,57.53336,1.0756812,40.1911,105.0282,5.0,2122.0,Hazardous
4675,318.65875,0.13950968,1.1069831,154.497,177.23497,29.740528,55.215405,1.2751173,40.1911,105.0282,5.0,2108.0,Hazardous
4676,331.58984,0.14596899,1.0719919,149.42357,171.51501,29.359093,54.752216,1.345425,40.1911,105.0282,5.0,2151.0,Hazardous
4677,346.29913,0.15497759,1.022771,147.26685,172.31133,28.033983,53.870426,1.2916937,40.1911,105.0282,5.0,2237.0,Hazardous
4678,356.8409,0.17172958,0.9511712,145.80814,174.15823,26.575403,50.64983,1.2477084,40.1911,105.0282,5.0,2299.0,Hazardous
4679,363.36456,0.1943913,0.9694645,138.62408,174.23474,26.139616,52.570667,1.2927235,40.1911,105.0282,5.0,2337.0,Hazardous
